animal,pelos,penas,ovos,leite,salta,aquatico,predador,dentes,espinha_dorsal,respira,venenoso,nadadeiras,cauda,pernas,tipo
cavalo-marinho,0,0,1,0,0,1,0,1,1,0,0,1,1,0,4
foca,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1
leão marinho,1,0,0,1,0,1,1,1,1,1,0,1,1,2,1
cobra da agua,0,0,0,0,0,1,1,1,1,0,1,0,1,0,3
agua viva,0,0,1,0,0,1,1,0,0,0,1,0,0,0,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,2,2
mandrião,0,1,1,0,1,1,1,0,1,1,0,0,1,2,2
licranço,0,0,1,0,0,0,1,1,1,1,0,0,1,0,3
lesma,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,1,0,4
pardal,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
esquilo,1,0,0,1,0,0,0,1,1,1,0,0,1,2,1
estrela do mar,0,0,1,0,0,1,1,0,0,0,0,0,0,5,7
arraia,0,0,1,0,0,1,1,1,1,0,1,1,1,0,4
cisne,0,1,1,0,1,1,0,0,1,1,0,0,1,2,2
cupim,0,0,1,0,0,0,0,0,0,1,0,0,0,6,6
bufo,0,0,1,0,0,1,0,1,1,1,0,0,0,4,5
tartaruga,0,0,1,0,0,0,0,0,1,1,0,0,1,4,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,1,4,3
atum,0,0,1,0,0,1,1,1,1,0,0,1,1,0,4
vampiro,1,0,0,1,1,0,0,1,1,1,0,0,1,2,1
ratogana,1,0,0,1,0,0,0,1,1,1,0,0,1,4,1
abutre,0,1,1,0,1,0,1,0,1,1,0,0,1,2,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,2,1
vespa,1,0,1,0,1,0,0,0,0,1,1,0,0,6,6
lobo,1,0,0,1,0,0,1,1,1,1,0,0,1,4,1
verme,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
carriça,0,1,1,0,1,0,0,0,1,1,0,0,1,2,2
